evaluation_index,tag,global_iteration,stage_iteration,role,beta,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance
10,run003_b002_s010_g010_accepted_mma,10,10,accepted_mma,2.0,5.343676824586414e-20,3.865800523390951e-07,0.11304723598454167,0.4780484208580157,0.022098405445310672,0.026257203412939578,1.0,0.8021826891420661,0.039819682072535265,0.03984920029930508,0.04,True,49,5,2.6264861532838842e-05,9.46146885021819e-11,2.7926416191449275e-12
11,run003_b002_s011_g011_accepted_mma,11,11,accepted_mma,2.0,5.886434939768802e-20,4.2584505047844567e-07,0.1015701609583016,0.47368235233440026,0.02202099543181269,0.02625720472824833,1.0,0.7645238661819196,0.03950124707203762,0.039618146152468246,0.04,True,42,6,3.2796182069135805e-05,9.85831478966623e-11,3.3453213348844865e-12
12,run003_b002_s012_g012_accepted_mma,12,12,accepted_mma,2.0,6.421179627257538e-20,4.645303295593804e-07,0.09084355691693738,0.4692142456260427,0.021428019465664812,0.026257204765094466,1.0,0.7245355314897919,0.03899416628095318,0.03907407846102463,0.04,True,41,4,4.050579191172045e-05,9.080398704062488e-11,2.2051845575410784e-12
13,run003_b002_s013_g013_accepted_mma,13,13,accepted_mma,2.0,6.945593240509902e-20,5.024682230198675e-07,0.08166935729788012,0.4646988398291723,0.020804844900870565,0.026257204834417014,1.0,0.6825935904552771,0.03833761482577082,0.03820678792924834,0.04,True,46,2,4.841961440710779e-05,9.285827961002136e-11,2.3451302581925146e-12
14,run003_b002_s014_g014_accepted_mma,14,14,accepted_mma,2.0,7.45757703279962e-20,5.395069002672412e-07,0.07371347191822175,0.46017251849996227,0.020159040395493346,0.02625720336087356,1.0,0.6390971189419921,0.03757424044256493,0.03703790821102799,0.04,True,36,5,5.7937749499176546e-05,9.453595423621923e-11,3.72081419324782e-12
15,run003_b002_s015_g015_accepted_mma,15,15,accepted_mma,2.0,7.955296177552362e-20,5.755136236048892e-07,0.06674006082185839,0.4556622465702062,0.01949638467683391,0.026257204841029724,1.0,0.5944344835699129,0.03674324012205782,0.03557516862066656,0.04,True,39,2,6.708846767292001e-05,9.589258873820828e-11,3.725737807290452e-12
16,run003_b002_s016_g016_accepted_mma,16,16,accepted_mma,2.0,8.437240507777518e-20,6.103791423326972e-07,0.06058156974533143,0.45120950920507624,0.01882155512777349,0.026257199536300624,1.0,0.5489658555770168,0.03587013616507185,0.03382104854537547,0.04,True,45,7,7.682105096396704e-05,9.703094428110584e-11,3.811102777730407e-12
17,run003_b002_s017_g017_accepted_mma,17,17,accepted_mma,2.0,8.902232247726347e-20,6.440182520819246e-07,0.05511182708614222,0.4468473307679561,0.01813813482265101,0.026257204784364663,1.0,0.5030391688885336,0.034958862207539305,0.03179158526259936,0.04,True,38,3,8.656355473055681e-05,9.809043822223745e-11,4.00150085686699e-12
18,run003_b002_s018_g018_accepted_mma,18,18,accepted_mma,2.0,9.349418891496683e-20,6.763692796288535e-07,0.050233091131109034,0.4426070091903651,0.017452541333203977,0.026257200521041357,1.0,0.45695339740898994,0.03399285271869884,0.029530861003618316,0.04,True,39,7,9.72071622744234e-05,9.917303251564163e-11,4.29508705804812e-12
19,run003_b002_s019_g019_accepted_mma,19,19,accepted_mma,2.0,9.778298270918382e-20,7.073958963922711e-07,0.04587230333767212,0.4385164361991748,0.01676651383435033,0.02625720199697018,1.0,0.41096821677666445,0.032936264506521595,0.027089140312887887,0.04,True,42,10,0.00010821765168448629,8.229714196245988e-11,4.4849707724895525e-12
20,run003_b002_s020_g020_accepted_mma,20,20,accepted_mma,2.0,1.0188712964035529e-19,7.370867139237449e-07,0.041971995713994695,0.4345912211267578,0.016086950560431378,0.0262572047839848,1.0,0.36530517628663534,0.03174992615340589,0.024513993780332206,0.04,True,39,12,0.00011843339201353963,8.256704022197683e-11,5.4940322969812495e-12
21,run003_b002_s021_g021_accepted_mma,21,21,accepted_mma,2.0,1.0580460980345921e-19,7.65427119532149e-07,0.03844921509646972,0.4308273054499201,0.01540502127981021,0.02625720398867809,0.954351716752079,0.3201982601049691,0.030398283651497184,0.021854987103460653,0.04,True,40,8,0.00012993765472664033,8.243895936540969e-11,5.061977309980265e-12
22,run003_b002_s022_g022_accepted_mma,22,22,accepted_mma,2.0,1.0925515110395963e-19,7.90389528007308e-07,0.03261239096207714,0.42739461837954823,0.014526499204926924,0.02625720112232799,0.8884632247770056,0.27725146640349385,0.028855268222564324,0.019158536866852486,0.04,True,39,8,0.00014099428027601244,8.37055302125888e-11,5.5879831779060034e-12
23,run003_b002_s023_g023_accepted_mma,23,23,accepted_mma,2.0,1.1211623178753576e-19,8.110875746278357e-07,0.026187146827097586,0.4243172711161662,0.01348844047186442,0.026257197383722175,0.8006166938596554,0.23835910270611738,0.02710009014960056,0.016462640102745573,0.04,True,40,5,0.0001506305537667373,8.336962839531227e-11,5.30608959860948e-12
24,run003_b002_s024_g024_accepted_mma,24,24,accepted_mma,2.0,1.1445945837896465e-19,8.280392857453404e-07,0.020899976337675916,0.42149410355327915,0.012369953726303022,0.026257200190595242,0.6912936914661932,0.204230453886296,0.0251401943031748,0.013805320728684943,0.04,True,38,7,0.00015897694899781587,8.247362244812217e-11,4.956535676747912e-12
25,run003_b002_s025_g025_accepted_mma,25,25,accepted_mma,2.0,1.1623486388234746e-19,8.408831828399962e-07,0.015511217059097124,0.41894188138150174,0.011212877469411167,0.026257204834188697,0.5716565202078646,0.1758214130019007,0.02301129892987384,0.011254879831456259,0.04,True,38,8,0.0001668478266621414,9.135973250613948e-11,5.45934568355053e-12
